line1,col1,line2,col2,id,parent,token,terminal,text
2,1,2,75,3,-19,COMMENT,TRUE,"# Test script, exposing in a minimal number of lines a few of the R grammar"
3,1,3,4,6,-19,COMMENT,TRUE,# - 
5,1,5,14,19,0,expr,FALSE,
5,1,5,7,11,13,SYMBOL_FUNCTION_CALL,TRUE,library
5,1,5,7,13,19,expr,FALSE,
5,8,5,8,12,19,'(',TRUE,(
5,9,5,13,14,16,SYMBOL,TRUE,dplyr
5,9,5,13,16,19,expr,FALSE,
5,14,5,14,15,19,')',TRUE,)
7,1,7,1,25,27,SYMBOL,TRUE,x
7,1,7,1,27,0,expr,FALSE,
7,3,7,3,26,0,EQ_ASSIGN,TRUE,=
7,5,7,5,28,29,NUM_CONST,TRUE,3
7,5,7,5,29,0,expr,FALSE,
8,1,8,10,41,0,expr,FALSE,
8,1,8,1,35,37,SYMBOL,TRUE,y
8,1,8,1,37,41,expr,FALSE,
8,3,8,4,36,41,LEFT_ASSIGN,TRUE,<-
8,6,8,10,38,40,STR_CONST,TRUE,"""FOO"""
8,6,8,10,40,41,expr,FALSE,
9,1,9,2,44,46,SYMBOL,TRUE,df
9,1,9,2,46,0,expr,FALSE,
9,4,9,4,45,0,EQ_ASSIGN,TRUE,=
9,6,9,24,55,0,expr,FALSE,
9,6,9,18,47,49,SYMBOL_FUNCTION_CALL,TRUE,as.data.frame
9,6,9,18,49,55,expr,FALSE,
9,19,9,19,48,55,'(',TRUE,(
9,20,9,23,50,52,SYMBOL,TRUE,iris
9,20,9,23,52,55,expr,FALSE,
9,24,9,24,51,55,')',TRUE,)
11,1,11,44,63,-67,COMMENT,TRUE,# function scope in which there is a local x
12,1,12,3,66,68,SYMBOL,TRUE,bar
12,1,12,3,68,0,expr,FALSE,
12,5,12,5,67,0,EQ_ASSIGN,TRUE,=
12,7,16,1,151,0,expr,FALSE,
12,7,12,14,69,151,FUNCTION,TRUE,function
12,15,12,15,70,151,'(',TRUE,(
12,16,12,16,71,151,SYMBOL_FORMALS,TRUE,x
12,17,12,17,72,151,"','",TRUE,","
12,19,12,19,74,151,SYMBOL_FORMALS,TRUE,y
12,21,12,21,75,151,EQ_FORMALS,TRUE,=
12,23,12,26,76,77,NULL_CONST,TRUE,NULL
12,23,12,26,77,151,expr,FALSE,
12,27,12,27,78,151,')',TRUE,)
12,28,16,1,148,151,expr,FALSE,
12,28,12,28,80,148,'{',TRUE,{
13,9,13,13,82,84,SYMBOL,TRUE,local
13,9,13,13,84,148,expr,FALSE,
13,15,13,15,83,148,EQ_ASSIGN,TRUE,=
13,17,13,26,93,148,expr,FALSE,
13,17,13,21,85,87,SYMBOL_FUNCTION_CALL,TRUE,rnorm
13,17,13,21,87,93,expr,FALSE,
13,22,13,22,86,93,'(',TRUE,(
13,23,13,25,88,89,NUM_CONST,TRUE,100
13,23,13,25,89,93,expr,FALSE,
13,26,13,26,90,93,')',TRUE,)
14,9,14,12,99,101,SYMBOL,TRUE,df_2
14,9,14,12,101,148,expr,FALSE,
14,14,14,14,100,148,EQ_ASSIGN,TRUE,=
14,16,14,50,122,148,expr,FALSE,
14,16,14,17,102,104,SYMBOL,TRUE,df
14,16,14,17,104,122,expr,FALSE,
14,19,14,21,103,122,SPECIAL,TRUE,%>%
14,23,14,50,120,122,expr,FALSE,
14,23,14,28,105,107,SYMBOL_FUNCTION_CALL,TRUE,filter
14,23,14,28,107,120,expr,FALSE,
14,29,14,29,106,120,'(',TRUE,(
14,30,14,49,117,120,expr,FALSE,
14,30,14,44,112,117,expr,FALSE,
14,30,14,31,108,110,SYMBOL,TRUE,df
14,30,14,31,110,112,expr,FALSE,
14,32,14,32,109,112,'$',TRUE,$
14,33,14,44,111,112,SYMBOL,TRUE,Sepal.Length
14,46,14,47,113,117,LE,TRUE,<=
14,49,14,49,114,115,NUM_CONST,TRUE,6
14,49,14,49,115,117,expr,FALSE,
14,50,14,50,116,120,')',TRUE,)
15,9,15,37,142,148,expr,FALSE,
15,9,15,14,127,129,SYMBOL_FUNCTION_CALL,TRUE,return
15,9,15,14,129,142,expr,FALSE,
15,16,15,16,128,142,'(',TRUE,(
15,17,15,36,139,142,expr,FALSE,
15,17,15,32,134,139,expr,FALSE,
15,17,15,20,130,132,SYMBOL,TRUE,df_2
15,17,15,20,132,134,expr,FALSE,
15,21,15,21,131,134,'$',TRUE,$
15,22,15,32,133,134,SYMBOL,TRUE,Sepal.Width
15,34,15,34,135,139,'*',TRUE,*
15,36,15,36,136,138,SYMBOL,TRUE,x
15,36,15,36,138,139,expr,FALSE,
15,37,15,37,137,142,')',TRUE,)
16,1,16,1,146,148,'}',TRUE,}
18,1,18,1,158,160,SYMBOL,TRUE,x
18,1,18,1,160,0,expr,FALSE,
18,3,18,3,159,0,EQ_ASSIGN,TRUE,=
18,5,18,10,169,0,expr,FALSE,
18,5,18,7,161,163,SYMBOL_FUNCTION_CALL,TRUE,bar
18,5,18,7,163,169,expr,FALSE,
18,8,18,8,162,169,'(',TRUE,(
18,9,18,9,164,165,NUM_CONST,TRUE,3
18,9,18,9,165,169,expr,FALSE,
18,10,18,10,166,169,')',TRUE,)
